time,ax,ay,az,wx,wy,wz
2025-10-16T15:36:10.096Z,-3.1750,-2.8977,-3.0083,4.8862,-0.1295,1.6588
2025-10-16T15:36:10.104Z,-2.9414,-3.1259,-3.1374,4.7297,0.3252,1.6134
2025-10-16T15:36:10.114Z,-2.8423,-3.2370,-3.4784,4.5244,0.6796,1.5746
2025-10-16T15:36:10.124Z,-2.8102,-3.4656,-3.8478,4.2805,0.9262,1.5331
2025-10-16T15:36:10.134Z,-2.9285,-3.8213,-4.0046,3.9984,1.0499,1.4860
2025-10-16T15:36:10.146Z,-2.9012,-4.3333,-3.9775,3.7010,1.0646,1.4330
2025-10-16T15:36:10.154Z,-2.6837,-4.9200,-3.8256,3.4101,0.9984,1.3729
2025-10-16T15:36:10.164Z,-2.3634,-5.3048,-3.4225,3.1343,0.9038,1.3012
2025-10-16T15:36:10.174Z,-1.8872,-5.2007,-2.8677,2.9013,0.9157,1.2155
2025-10-16T15:36:10.184Z,-1.2906,-4.6393,-2.4418,2.6900,0.9998,1.1147
2025-10-16T15:36:10.195Z,-0.7217,-3.9385,-2.2405,2.4572,1.0642,0.9899
2025-10-16T15:36:10.204Z,-0.1998,-3.5292,-1.9925,2.2428,1.1438,0.8520
2025-10-16T15:36:10.215Z,0.1568,-3.5573,-1.4894,2.0380,1.2501,0.7214
2025-10-16T15:36:10.224Z,0.3343,-3.7283,-1.0142,1.8546,1.3407,0.6043
2025-10-16T15:36:10.234Z,0.3916,-3.7984,-0.7344,1.6813,1.3907,0.4850
2025-10-16T15:36:10.246Z,0.3322,-3.6901,-0.5100,1.5546,1.4131,0.3679
2025-10-16T15:36:10.254Z,0.1768,-3.5537,-0.3697,1.4588,1.4097,0.2552
2025-10-16T15:36:10.264Z,0.1821,-3.4494,-0.3593,1.3743,1.4176,0.1494
2025-10-16T15:36:10.274Z,0.4770,-3.3686,-0.6091,1.2924,1.4740,0.0493
2025-10-16T15:36:10.285Z,0.7863,-3.2552,-0.7066,1.2074,1.5553,-0.0509
2025-10-16T15:36:10.296Z,1.2791,-3.0930,-0.8258,1.1188,1.6421,-0.1792
2025-10-16T15:36:10.304Z,1.7150,-2.8469,-1.1881,1.0003,1.6609,-0.3418
